,Name,Description,Ingredients,Instructions,Season
95,Gyeran Mari (Korean Rolled Omelette),"A light and fluffy rolled omelette with vegetables, often enjoyed with rice or as a side dish.","3 eggs, 2 tbsp milk, 1/4 cup carrots (finely chopped), 1/4 cup scallions (finely chopped), 1/4 tsp salt, 1/4 tsp black pepper, 1/2 tbsp vegetable oil","1. Beat eggs with milk, salt, and pepper. 2. Add chopped carrots and scallions to the mixture. 3. Heat oil in a pan and pour a thin layer of egg mixture. 4. Roll the omelette halfway, then push to one side and pour more egg mixture. 5. Continue rolling until fully cooked. 6. Let it cool slightly, then slice into bite-sized pieces. 7. Serve warm with rice or dipping sauce.",Summer
96,Kongnamul Bap (Soybean Sprout Rice),A nutritious rice dish cooked with soybean sprouts and served with a flavorful soy sauce seasoning.,"1 cup short-grain rice, 1.5 cups water, 1 cup soybean sprouts, 1 tbsp soy sauce, 1/2 tsp sesame oil, 1/2 tsp sesame seeds, 1/2 tsp gochugaru (Korean chili flakes), 1 clove garlic (minced), 1 tbsp chopped scallions","1. Rinse and soak rice for 30 minutes, then drain. 2. In a pot, add rice, water, and soybean sprouts, then cook until rice is tender. 3. In a small bowl, mix soy sauce, sesame oil, garlic, gochugaru, and scallions. 4. Fluff the cooked rice and serve in a bowl. 5. Drizzle the prepared soy sauce mixture over the rice. 6. Sprinkle sesame seeds for added flavor. 7. Mix well before eating and enjoy warm.",Summer
97,Jeonbokjuk (Abalone Rice Porridge),"A luxurious and nutritious rice porridge made with fresh abalone, often eaten for strength and recovery.","1 cup short-grain rice, 2 fresh abalones (cleaned and chopped), 1 tbsp sesame oil, 3 cups water, 1 clove garlic (minced), 1/2 tsp salt, 1/2 tsp soy sauce, 1 tbsp chopped scallions","1. Soak rice in water for 30 minutes, then drain. 2. Heat sesame oil in a pot and sauté chopped abalone for 2 minutes. 3. Add drained rice and stir-fry for 2 more minutes. 4. Pour in water and let the mixture simmer until the rice softens. 5. Add garlic, salt, and soy sauce, stirring occasionally. 6. Once the porridge thickens, remove from heat. 7. Garnish with scallions and serve hot.",Winter
98,Gamja Jeon (Korean Potato Pancake),"A crispy and golden pancake made with grated potatoes, perfect for a quick and delicious breakfast.","2 medium potatoes (peeled and grated), 1/4 tsp salt, 1 tbsp cornstarch, 1/2 tbsp vegetable oil, 1 tbsp chopped scallions (optional), 1 tbsp soy sauce (for dipping)",1. Grate potatoes and squeeze out excess water. 2. Mix grated potatoes with salt and cornstarch. 3. Heat oil in a pan and spread the potato mixture evenly. 4. Cook on medium heat until the bottom is golden brown. 5. Flip and cook the other side until crispy. 6. Transfer to a plate and cut into pieces. 7. Serve hot with soy sauce for dipping.,Rainy
99,Cornetto,"An Italian-style croissant, slightly sweeter and softer than the French version, filled with jam or custard.","2 cups all-purpose flour, 1/2 cup sugar, 1/2 cup milk, 1/4 cup butter, 1 tsp yeast, 1/2 tsp salt, 1 egg, 1/2 cup jam or custard for filling","1. Dissolve yeast in warm milk and let it sit for 10 minutes. 2. Mix flour, sugar, and salt in a bowl. 3. Add yeast mixture and knead into a soft dough. 4. Let the dough rise for 1 hour. 5. Roll out and cut into triangles, then fill with jam or custard and roll into a crescent shape. 6. Brush with egg wash and bake at 180°C for 15 minutes. 7. Serve warm with coffee.",Winter
100,Bruschetta al Pomodoro,"A light and fresh breakfast of toasted bread topped with tomatoes, garlic, and basil.","4 slices Italian bread, 2 tomatoes diced, 1 clove garlic minced, 1 tbsp olive oil, 1 tbsp basil chopped, 1/2 tsp salt, 1/4 tsp black pepper","1. Toast bread slices until golden brown. 2. In a bowl, mix diced tomatoes, minced garlic, basil, olive oil, salt, and pepper. 3. Let the mixture sit for 10 minutes. 4. Spoon the tomato mixture onto toasted bread. 5. Drizzle with extra olive oil. 6. Serve immediately.",Summer
101,Cappuccino with Biscotti,A classic Italian breakfast pairing of a foamy cappuccino with crunchy almond biscotti.,"1 cup whole milk, 1 shot espresso, 1/2 tsp sugar, 2 almond biscotti",1. Brew a strong shot of espresso. 2. Heat milk and froth it until creamy. 3. Pour frothed milk over espresso. 4. Add sugar if desired. 5. Serve with almond biscotti.,Winter
102,Torta della Nonna,A traditional Italian breakfast cake with a creamy custard filling and pine nuts.,"2 cups flour, 1/2 cup sugar, 1/2 cup butter, 2 eggs, 1 tsp baking powder, 1/2 tsp salt, 1 cup custard, 2 tbsp pine nuts","1. Mix flour, sugar, baking powder, and salt. 2. Add butter and eggs, kneading into a dough. 3. Roll out half the dough and place in a baking dish. 4. Spread custard over the base. 5. Cover with remaining dough and sprinkle pine nuts on top. 6. Bake at 180°C for 30 minutes. 7. Serve warm.",Rainy
103,Mediterranean Chickpea Salad,"A refreshing salad with chickpeas, cucumbers, tomatoes, and feta cheese, drizzled with a lemon-garlic dressing.","1 cup chickpeas, 1/2 cup cucumber diced, 1/2 cup cherry tomatoes halved, 1/4 cup feta cheese crumbled, 1/4 cup red onion chopped, 1 tbsp olive oil, 1 tbsp lemon juice, 1/2 tsp salt, 1/4 tsp black pepper, 1 tbsp parsley chopped","1. In a bowl, combine chickpeas, cucumber, tomatoes, red onion, and feta cheese. 2. In a separate bowl, whisk olive oil, lemon juice, salt, and black pepper. 3. Pour the dressing over the salad and toss well. 4. Garnish with chopped parsley and serve chilled.",Summer
104,Asian Sesame Slaw,"A crunchy slaw with cabbage, carrots, and sesame dressing, perfect as a side dish or a light meal.","2 cups cabbage shredded, 1/2 cup carrots julienned, 1/4 cup bell pepper sliced, 1 tbsp sesame seeds, 1 tbsp soy sauce, 1 tbsp rice vinegar, 1 tsp sesame oil, 1/2 tsp honey, 1/4 tsp ginger grated","1. In a large bowl, mix shredded cabbage, carrots, and bell pepper. 2. In a small bowl, whisk soy sauce, rice vinegar, sesame oil, honey, and grated ginger. 3. Pour the dressing over the vegetables and toss to coat evenly. 4. Sprinkle sesame seeds on top and serve fresh.",Rainy
105,Winter Kale & Quinoa Salad,"A hearty winter salad with kale, quinoa, roasted sweet potatoes, and cranberries, tossed in a citrus dressing.","1 cup kale chopped, 1/2 cup cooked quinoa, 1/2 cup roasted sweet potatoes diced, 1/4 cup dried cranberries, 1/4 cup walnuts chopped, 1 tbsp olive oil, 1 tbsp orange juice, 1/2 tsp salt, 1/4 tsp cinnamon","1. In a bowl, combine chopped kale, quinoa, roasted sweet potatoes, cranberries, and walnuts. 2. In a small bowl, whisk olive oil, orange juice, salt, and cinnamon. 3. Drizzle the dressing over the salad and toss well. 4. Let the salad sit for 5 minutes before serving.",Winter
106,Kachumber Salad,"A refreshing Indian salad made with finely chopped cucumbers, tomatoes, onions, and lemon juice.","1 cup cucumber, 1/2 cup tomatoes, 1/2 cup onions, 1/2 tsp salt, 1/4 tsp black pepper, 1 tbsp lemon juice, 1 tbsp chopped coriander","1. Finely chop cucumber, tomatoes, and onions. 2. In a bowl, mix all chopped ingredients. 3. Add salt, black pepper, and lemon juice. 4. Toss well to combine flavors. 5. Garnish with fresh coriander and serve.",Summer
107,Sprouted Moong Salad,A protein-rich and nutritious salad made with sprouted green gram and fresh vegetables.,"1 cup sprouted moong, 1/2 cup chopped cucumber, 1/2 cup chopped tomatoes, 1/4 cup grated carrots, 1/2 tsp salt, 1/4 tsp black pepper, 1 tbsp lemon juice, 1 tbsp chopped coriander","1. Rinse and drain sprouted moong. 2. Mix with chopped cucumber, tomatoes, and grated carrots. 3. Add salt, black pepper, and lemon juice. 4. Toss everything well to combine. 5. Garnish with fresh coriander and serve.",Summer
108,Pomegranate Raita,A cooling yogurt-based salad with pomegranate seeds and mild spices.,"1 cup yogurt, 1/2 cup pomegranate seeds, 1/4 tsp roasted cumin powder, 1/2 tsp salt, 1 tbsp chopped mint, 1/4 tsp black salt",1. Whisk yogurt until smooth. 2. Add pomegranate seeds and mix well. 3. Sprinkle roasted cumin powder and salt. 4. Stir in chopped mint leaves. 5. Garnish with black salt and serve chilled.,Summer
109,Beetroot Peanut Salad,A colorful and crunchy salad made with grated beetroot and roasted peanuts.,"1 cup grated beetroot, 1/4 cup roasted peanuts, 1 tbsp lemon juice, 1/4 tsp salt, 1/4 tsp black pepper, 1 tbsp chopped coriander","1. Grate beetroot and place it in a bowl. 2. Add roasted peanuts and mix well. 3. Season with salt, black pepper, and lemon juice. 4. Toss everything to combine. 5. Garnish with fresh coriander and serve.",Winter
110,Cabbage and Carrot Slaw,A crunchy and light salad made with shredded cabbage and carrots.,"1 cup shredded cabbage, 1/2 cup grated carrots, 1 tbsp lemon juice, 1/4 tsp salt, 1/4 tsp black pepper, 1 tbsp chopped mint","1. Shred cabbage and grate carrots. 2. Combine in a bowl and mix well. 3. Add lemon juice, salt, and black pepper. 4. Toss everything together. 5. Garnish with chopped mint and serve.",Rainy
111,Carrot and Coconut Salad,"A South Indian-style raw salad made with grated carrots, fresh coconut, and tempered with mustard seeds.","1/2 cup grated carrot, 1/4 cup grated coconut, 1 tbsp lemon juice, 1 tbsp chopped coriander, 1/2 tsp mustard seeds, 1/2 tsp salt, 1/4 tsp green chili (chopped), 1/2 tsp oil","1. Heat oil in a small pan and add mustard seeds. 2. Once they splutter, add green chilies. 3. Remove from heat and let cool. 4. Mix grated carrot and coconut in a bowl. 5. Add the tempered mustard seeds and chilies. 6. Sprinkle salt and drizzle lemon juice. 7. Toss well and serve fresh.",Winter
112,Raw Mango Salad,"A tangy and spicy salad made with raw mango, onions, and spices, perfect for hot summers.","1/2 cup raw mango (grated), 1/4 cup chopped onion, 1 tbsp chopped mint, 1 tbsp chopped coriander, 1/2 tsp black salt, 1/4 tsp red chili powder, 1 tbsp lemon juice",1. Peel and grate the raw mango. 2. Finely chop the onion. 3. Mix both in a bowl. 4. Add black salt and red chili powder. 5. Drizzle lemon juice over it. 6. Toss well to mix all flavors. 7. Garnish with mint and coriander before serving.,Summer
113,Mixed Lentil Salad,A wholesome and protein-rich salad made with a mix of boiled lentils and fresh veggies.,"1/2 cup boiled moong dal, 1/4 cup boiled masoor dal, 1/4 cup chopped tomato, 1/4 cup chopped cucumber, 1 tbsp lemon juice, 1/2 tsp salt, 1 tbsp chopped coriander",1. Boil and drain the lentils. 2. Chop tomatoes and cucumbers. 3. Mix lentils with the vegetables. 4. Add salt and lemon juice. 5. Toss well to blend flavors. 6. Let it sit for 10 minutes. 7. Garnish with fresh coriander and serve.,Rainy
114,Oi Muchim (Spicy Korean Cucumber Salad),"A refreshing and spicy Korean cucumber salad made with crisp cucumbers, garlic, and a flavorful gochugaru dressing.","2 cucumbers, 1 tbsp gochugaru, 1/2 tsp salt, 1 tsp sugar, 1 tbsp sesame oil, 1 tsp soy sauce, 1 tsp rice vinegar, 1 garlic clove minced, 1 tsp sesame seeds, 1 green onion chopped","1. Slice the cucumbers into thin rounds and sprinkle with salt. Let sit for 10 minutes, then rinse and drain. 2. In a bowl, mix gochugaru, sugar, sesame oil, soy sauce, rice vinegar, and minced garlic. 3. Toss the cucumbers with the dressing until well coated. 4. Garnish with sesame seeds and chopped green onions. 5. Serve immediately or let marinate for deeper flavor.",Summer
115,Baechu Geotjeori (Fresh Kimchi Salad),"A quick and fresh kimchi-style salad with napa cabbage and spicy seasoning, perfect for an instant kimchi craving.","1/2 napa cabbage, 1 tbsp gochugaru, 1/2 tsp salt, 1 tsp sugar, 1 tbsp fish sauce, 1 garlic clove minced, 1/2 tsp ginger grated, 1 tsp sesame seeds, 1 green onion chopped","1. Chop the napa cabbage into bite-sized pieces. 2. Sprinkle with salt and let sit for 15 minutes, then rinse and drain. 3. In a bowl, mix gochugaru, sugar, fish sauce, garlic, and ginger. 4. Toss the cabbage in the seasoning mixture until well coated. 5. Sprinkle with sesame seeds and green onions. 6. Serve immediately for a fresh taste.",Winter
116,Kongnamul Muchim (Korean Soybean Sprout Salad),"A simple and healthy salad made with blanched soybean sprouts, sesame oil, and garlic.","2 cups soybean sprouts, 1/2 tsp salt, 1 garlic clove minced, 1 tsp sesame oil, 1 tsp soy sauce, 1/2 tsp sesame seeds, 1 green onion chopped","1. Boil water in a pot and blanch the soybean sprouts for 2-3 minutes. Drain and let cool. 2. In a bowl, mix sesame oil, soy sauce, garlic, and salt. 3. Toss the soybean sprouts in the dressing. 4. Garnish with sesame seeds and chopped green onions. 5. Serve warm or cold as a side dish.",Rainy
117,Gamja Salad (Korean Potato Salad),"A creamy Korean-style potato salad with eggs, apples, and mayonnaise, often served as a side dish.","2 potatoes, 1 egg boiled, 1/2 apple chopped, 1/4 cup mayonnaise, 1/2 tsp salt, 1/2 tsp sugar, 1/2 tsp black pepper, 1/4 cup cucumber chopped","1. Boil potatoes until soft, then mash them in a bowl. 2. Chop the boiled egg and add to the potatoes. 3. Mix in chopped apple and cucumber. 4. Add mayonnaise, salt, sugar, and black pepper. 5. Stir well until smooth and creamy. 6. Chill in the refrigerator before serving.",Winter
118,Sangchu Geotjeori (Korean Lettuce Salad),A crisp and tangy lettuce salad with a spicy gochujang dressing.,"1 head green leaf lettuce, 1 tbsp gochujang, 1 tbsp soy sauce, 1 tsp sesame oil, 1/2 tsp sugar, 1 garlic clove minced, 1 tsp sesame seeds, 1 green onion chopped","1. Wash and tear the lettuce into bite-sized pieces. 2. In a bowl, mix gochujang, soy sauce, sesame oil, sugar, and minced garlic. 3. Toss the lettuce in the dressing until coated. 4. Sprinkle with sesame seeds and chopped green onions. 5. Serve immediately for a fresh crunch.",Summer
119,Pa Muchim (Korean Green Onion Salad),A spicy and tangy green onion salad often served with grilled meat.,"1 bunch green onions, 1 tbsp soy sauce, 1 tsp sesame oil, 1/2 tsp sugar, 1 tsp rice vinegar, 1/2 tsp gochugaru, 1 tsp sesame seeds","1. Cut the green onions into thin strips. 2. In a bowl, mix soy sauce, sesame oil, sugar, rice vinegar, and gochugaru. 3. Toss the green onions in the dressing until coated. 4. Sprinkle with sesame seeds. 5. Serve fresh as a side dish.",Rainy
120,Oiji Muchim (Spicy Pickled Cucumber Salad),A flavorful salad made with pickled cucumbers and spicy gochugaru seasoning.,"2 pickled cucumbers, 1 tbsp gochugaru, 1/2 tsp sugar, 1 tbsp sesame oil, 1 tsp soy sauce, 1 garlic clove minced, 1 tsp sesame seeds","1. Slice the pickled cucumbers into thin rounds. 2. In a bowl, mix gochugaru, sugar, sesame oil, soy sauce, and garlic. 3. Toss the cucumbers in the dressing until well combined. 4. Sprinkle with sesame seeds. 5. Serve immediately for a spicy, tangy flavor.",Summer
121,Gochujang Cabbage Salad,"A spicy and tangy cabbage salad with gochujang dressing, perfect as a side dish.","2 cups napa cabbage, 1 tbsp gochujang, 1 tbsp soy sauce, 1 tsp sesame oil, 1 tsp rice vinegar, 1 tsp sugar, 1/2 tsp sesame seeds, 1 clove garlic minced","1. Chop napa cabbage into bite-sized pieces. 2. In a bowl, mix gochujang, soy sauce, sesame oil, rice vinegar, sugar, and garlic. 3. Toss the cabbage with the dressing and mix well. 4. Let it sit for 10 minutes to absorb the flavors. 5. Sprinkle sesame seeds on top before serving.",Summer
122,Korean Cucumber and Wakame Salad,"A refreshing salad made with cucumbers and seaweed, dressed with sesame and soy flavors.","2 cucumbers sliced, 1/4 cup dried wakame seaweed, 1 tbsp soy sauce, 1 tsp sesame oil, 1/2 tsp sugar, 1/2 tsp sesame seeds, 1/2 tsp rice vinegar","1. Soak wakame seaweed in warm water for 5 minutes until rehydrated. 2. Slice cucumbers thinly. 3. In a bowl, mix soy sauce, sesame oil, sugar, rice vinegar, and sesame seeds. 4. Combine cucumbers and wakame with the dressing. 5. Let it sit for 5 minutes before serving.",Summer
123,Korean Spicy Radish Salad (Musaengchae),A crunchy and spicy radish salad made with julienned radish and a tangy gochugaru dressing.,"2 cups Korean radish julienned, 1 tbsp gochugaru, 1 tbsp soy sauce, 1 tsp sugar, 1 tsp rice vinegar, 1/2 tsp sesame oil, 1/2 tsp garlic minced, 1/2 tsp sesame seeds","1. Julienne the Korean radish into thin strips. 2. In a bowl, mix gochugaru, soy sauce, sugar, rice vinegar, sesame oil, and garlic. 3. Toss the radish with the dressing until well coated. 4. Let it sit for 10 minutes. 5. Sprinkle sesame seeds before serving.",Winter
124,Korean Spinach Salad (Sigeumchi Namul),A simple and nutritious blanched spinach salad seasoned with sesame and soy sauce.,"2 cups spinach, 1 tbsp soy sauce, 1/2 tsp sesame oil, 1/2 tsp sesame seeds, 1/2 tsp garlic minced, 1/2 tsp sugar","1. Blanch the spinach in boiling water for 30 seconds. 2. Drain and squeeze out excess water. 3. In a bowl, mix soy sauce, sesame oil, garlic, sugar, and sesame seeds. 4. Toss the spinach with the dressing. 5. Serve immediately.",Rainy
125,Doenjang Potato Salad,A creamy potato salad with Korean soybean paste (doenjang) for a unique umami flavor.,"2 potatoes boiled, 1 tbsp doenjang, 1 tbsp mayonnaise, 1/2 tsp sugar, 1/2 tsp sesame oil, 1 green onion chopped, 1/2 tsp sesame seeds","1. Boil the potatoes until soft, then mash them roughly. 2. In a bowl, mix doenjang, mayonnaise, sugar, and sesame oil. 3. Combine the potatoes with the dressing. 4. Add chopped green onions and mix well. 5. Sprinkle sesame seeds before serving.",Winter
126,Spicy Kimchi Slaw,"A fusion of coleslaw and kimchi flavors, combining cabbage, carrots, and a spicy dressing.","2 cups cabbage shredded, 1/2 cup carrots shredded, 1 tbsp kimchi juice, 1 tbsp mayonnaise, 1/2 tsp gochujang, 1/2 tsp sugar, 1/2 tsp sesame seeds","1. Shred cabbage and carrots. 2. In a bowl, mix kimchi juice, mayonnaise, gochujang, and sugar. 3. Toss the vegetables with the dressing. 4. Let it sit for 10 minutes. 5. Sprinkle sesame seeds before serving.",Summer
127,Soybean Sprout Salad (Kongnamul Muchim),A light and flavorful salad made with blanched soybean sprouts and a garlic soy dressing.,"2 cups soybean sprouts, 1 tbsp soy sauce, 1/2 tsp garlic minced, 1/2 tsp sesame oil, 1/2 tsp sesame seeds, 1/2 tsp chili flakes","1. Blanch soybean sprouts in boiling water for 2 minutes. 2. Drain and let cool. 3. In a bowl, mix soy sauce, garlic, sesame oil, sesame seeds, and chili flakes. 4. Toss the sprouts with the dressing. 5. Serve immediately.",Rainy
128,Sesame Cucumber and Apple Salad,A refreshing cucumber and apple salad with a nutty sesame dressing.,"1 cucumber sliced, 1 apple sliced, 1 tbsp sesame oil, 1 tbsp soy sauce, 1/2 tsp rice vinegar, 1/2 tsp sugar, 1/2 tsp sesame seeds","1. Slice the cucumber and apple thinly. 2. In a bowl, mix sesame oil, soy sauce, rice vinegar, sugar, and sesame seeds. 3. Toss the cucumber and apple with the dressing. 4. Let it sit for 5 minutes before serving.",Summer
129,Chilled Tofu and Seaweed Salad,"A healthy salad with chilled silken tofu and seaweed, dressed in soy and sesame.","1 block silken tofu, 1/4 cup wakame seaweed soaked, 1 tbsp soy sauce, 1/2 tsp sesame oil, 1/2 tsp rice vinegar, 1/2 tsp sesame seeds, 1 green onion chopped","1. Cut silken tofu into cubes. 2. Soak wakame seaweed in water until soft. 3. In a bowl, mix soy sauce, sesame oil, rice vinegar, and sesame seeds. 4. Arrange tofu and seaweed on a plate. 5. Drizzle the dressing over and garnish with chopped green onions.",Rainy
130,Perilla Leaf Salad,A unique salad featuring fresh perilla leaves with a spicy sesame dressing.,"10 perilla leaves, 1 tbsp soy sauce, 1 tsp sesame oil, 1/2 tsp sugar, 1/2 tsp gochugaru, 1/2 tsp garlic minced, 1/2 tsp sesame seeds","1. Wash perilla leaves and pat dry. 2. In a bowl, mix soy sauce, sesame oil, sugar, gochugaru, garlic, and sesame seeds. 3. Coat each perilla leaf with the dressing. 4. Let it sit for 10 minutes before serving.",Summer
131,Sunomono (Japanese Cucumber Salad),"A light, tangy cucumber salad with a sweet and sour dressing, often served as a side dish.","2 cucumbers, 1 tbsp rice vinegar, 1 tsp sugar, 1/2 tsp soy sauce, 1/2 tsp sesame seeds, 1/4 tsp salt, 1 tbsp wakame seaweed (soaked)","1. Thinly slice cucumbers and sprinkle with salt, letting sit for 10 minutes. 2. Rinse and squeeze out excess water. 3. Soak wakame seaweed in water until rehydrated, then drain. 4. Mix rice vinegar, sugar, and soy sauce in a bowl. 5. Add cucumbers and wakame, tossing to coat. 6. Sprinkle with sesame seeds before serving.",Summer
132,Goma-ae (Sesame Spinach Salad),"A delicious spinach salad coated with a nutty sesame dressing, perfect as a healthy appetizer.","2 cups spinach, 2 tbsp sesame seeds, 1 tbsp soy sauce, 1/2 tbsp sugar, 1/2 tbsp mirin, 1/2 tsp sesame oil","1. Blanch spinach in boiling water for 30 seconds, then cool in ice water. 2. Drain and squeeze out excess water, then chop. 3. Toast sesame seeds in a dry pan until aromatic. 4. Grind sesame seeds and mix with soy sauce, sugar, mirin, and sesame oil. 5. Toss spinach in the dressing until well coated. 6. Serve chilled or at room temperature.",Rainy
133,Hijiki Salad,"A healthy and flavorful seaweed salad made with hijiki, carrots, and tofu, rich in umami flavors.","1/4 cup dried hijiki, 1/2 carrot (julienned), 1/2 block firm tofu (cubed), 1 tbsp soy sauce, 1 tbsp mirin, 1/2 tbsp sugar, 1/2 tsp sesame oil","1. Soak hijiki in water for 20 minutes, then drain. 2. Heat sesame oil in a pan and saut� carrots and hijiki for 3 minutes. 3. Add soy sauce, mirin, and sugar, cooking until absorbed. 4. Add tofu cubes and gently mix. 5. Let it cool slightly before serving.",Winter
134,Daikon and Carrot Salad,"A crisp and refreshing salad made with julienned daikon radish and carrots, dressed in a tangy sauce.","1 burdock root, 1 carrot, 1 tbsp soy sauce, 1 tbsp mirin, 1/2 tbsp sugar, 1/2 tsp sesame oil, 1/2 tsp sesame seeds","1. Peel and julienne burdock root and carrot. 2. Soak burdock root in water for 10 minutes to remove bitterness. 3. Heat sesame oil in a pan and stir-fry burdock and carrot. 4. Add soy sauce, mirin, and sugar, cooking until absorbed. 5. Sprinkle with sesame seeds and serve warm or at room temperature.",Summer
135,Kinpira Gobo (Burdock Root Salad),A traditional Japanese salad featuring stir-fried burdock root and carrots in a sweet-savory glaze.,"1 burdock root, 1 carrot, 1 tbsp soy sauce, 1 tbsp mirin, 1/2 tbsp sugar, 1/2 tsp sesame oil, 1/2 tsp sesame seeds","1. Peel and julienne burdock root and carrot. 2. Soak burdock root in water for 10 minutes to remove bitterness. 3. Heat sesame oil in a pan and stir-fry burdock and carrot. 4. Add soy sauce, mirin, and sugar, cooking until absorbed. 5. Sprinkle with sesame seeds and serve warm or at room temperature.",Winter
136,Mizuna and Tofu Salad,"A light and nutritious salad with Japanese mizuna greens, tofu, and a tangy sesame dressing.","2 cups mizuna greens, 1/2 block silken tofu (cubed), 1 tbsp soy sauce, 1 tbsp rice vinegar, 1/2 tbsp sesame oil, 1 tsp sesame seeds","1. Wash and chop mizuna greens. 2. Cut tofu into small cubes. 3. In a bowl, mix soy sauce, rice vinegar, and sesame oil. 4. Toss mizuna greens and tofu with the dressing. 5. Sprinkle with sesame seeds before serving.",Rainy
137,Japanese Potato Salad,"A creamy, slightly tangy potato salad with vegetables and a hint of sweetness.","2 potatoes, 1/2 carrot, 1/2 cucumber, 2 tbsp Japanese mayo, 1 tsp rice vinegar, 1/2 tsp sugar, 1/4 tsp salt, 1 boiled egg (chopped)","1. Boil potatoes until soft, then mash lightly. 2. Blanch carrots and slice cucumbers thinly. 3. Mix Japanese mayo, rice vinegar, sugar, and salt. 4. Combine potatoes, vegetables, and dressing. 5. Fold in chopped boiled egg. 6. Chill before serving.",Summer
138,Wakame and Tofu Salad,"A refreshing salad made with soft tofu, wakame seaweed, and a light soy dressing.","1/4 cup dried wakame, 1/2 block silken tofu, 1 tbsp soy sauce, 1 tbsp rice vinegar, 1/2 tsp sesame oil, 1/2 tsp ginger (grated)","1. Soak wakame in water until rehydrated, then drain. 2. Cut tofu into cubes. 3. Mix soy sauce, rice vinegar, sesame oil, and grated ginger. 4. Combine wakame and tofu in a bowl. 5. Drizzle with dressing before serving.",Rainy
139,Shirasu Salad,"A protein-packed salad with tiny whitebait fish, lettuce, and a citrusy dressing.","1/4 cup shirasu (whitebait), 2 cups lettuce, 1 tbsp soy sauce, 1 tbsp ponzu sauce, 1/2 tsp sesame oil, 1 tbsp scallions (chopped)","1. Wash and chop lettuce. 2. Lightly rinse and drain shirasu. 3. Mix soy sauce, ponzu sauce, and sesame oil. 4. Toss lettuce and shirasu with dressing. 5. Sprinkle with chopped scallions before serving.",Summer
140,Japanese Eggplant Salad,A savory salad with grilled Japanese eggplant and a soy-based dressing.,"1 eggplant, 1 tbsp soy sauce, 1 tbsp rice vinegar, 1/2 tbsp mirin, 1/2 tsp sesame oil, 1/2 tsp sesame seeds","1. Slice eggplant and grill until soft. 2. Mix soy sauce, rice vinegar, mirin, and sesame oil. 3. Drizzle dressing over grilled eggplant. 4. Sprinkle with sesame seeds and serve warm or cold.",Winter
141,Nicoise Salad," A classic French salad with tuna, potatoes, and olives","1/2 cup green beans, 1/2 cup cherry tomatoes, 1/2 cup boiled potatoes, 1 boiled egg, 1/4 cup black olives, 1/2 cup canned tuna, 1 tbsp olive oil, 1 tsp Dijon mustard, 1/2 tsp salt, 1/4 tsp black pepper, 1 tbsp lemon juice, 1/4 cup lettuce, 1/4 cup sliced red onions, 1 tbsp capers, 1 tbsp chopped parsley, 1/4 tsp dried thyme, 1/2 tsp minced garlic, 1/2 tsp white wine vinegar, 1/2 tsp anchovy paste, 1/4 tsp paprika, 1/2 tsp honey, 1 tbsp balsamic vinegar, 1/4 cup croutons, 1/2 tsp oregano, 1/2 tsp chopped basil, 1/4 cup sliced bell peppers, 1 tbsp Parmesan cheese","1. Boil potatoes until tender, then slice. 2. Blanch green beans for 2 minutes and cool in ice water. 3. Slice cherry tomatoes and red onions. 4. Arrange lettuce, potatoes, green beans, tomatoes, and onions on a plate. 5. Add tuna, boiled egg slices, olives, and capers. 6. Mix olive oil, mustard, lemon juice, and seasonings for the dressing. 7. Drizzle dressing over the salad and serve.",Summer
142,Summer Caprese Salad ,"A simple and fresh Italian salad with mozzarella, tomatoes, and basil","1/2 cup cherry tomatoes, 1/2 cup sliced mozzarella, 1/4 cup fresh basil leaves, 1 tbsp olive oil, 1/2 tsp salt, 1/4 tsp black pepper, 1 tbsp balsamic glaze, 1/2 tsp minced garlic, 1/2 tsp dried oregano, 1/2 tsp lemon zest, 1 tbsp pine nuts	","1. Slice cherry tomatoes and mozzarella cheese. 2. Arrange tomatoes, mozzarella, and basil leaves alternately on a plate. 3. Drizzle with olive oil and balsamic glaze. 4. Sprinkle salt, pepper, and oregano. 5. Add minced garlic and lemon zest for extra flavor. 6. Garnish with pine nuts and serve fresh.",Summer
143,Summer French Lentil Salad,"A hearty French salad with lentils, vegetables, and a tangy dressing.","1/2 cup cooked lentils, 1/4 cup diced red bell peppers, 1/4 cup diced cucumbers, 1/4 cup diced red onions, 1 tbsp olive oil, 1 tbsp Dijon mustard, 1/2 tsp salt, 1/4 tsp black pepper, 1 tbsp lemon juice, 1 tbsp chopped parsley, 1 tbsp chopped chives, 1/2 tsp minced garlic, 1/2 tsp dried thyme","1. Cook lentils until tender and let cool. 2. Dice bell peppers, cucumbers, and onions. 3. In a bowl, mix lentils and vegetables. 4. Prepare dressing with olive oil, mustard, lemon juice, and seasonings. 5. Drizzle dressing over the lentil mix. 6. Garnish with parsley and chives. 7. Serve fresh or chilled.",Rainy
